almaMmsId	hbzId	rpbId
990055902630206441	HT007038785	036t951218
990107597270206441	HT012607174	036t951222
990107323740206441	HT012579821	036t951231
990056222280206441	HT007076081	036t990998
990107529040206441	HT012600351	036t951316
990056245800206441	HT007192878	036t951317
990107519580206441	HT012599405	036t990301
990107658300206441	HT012613277	036t951354
990056365360206441	HT007472126	036t991376
990107599760206441	HT012607423	036t960117
990107672370206441	HT012614684	036t961022
990107647970206441	HT012612244	036t961024
990054587510206441	HT006227666	036t961033
990054587520206441	HT006227698	036t961034
990054587540206441	HT006227759	929t080494
990056163190206441	HT007069390	036t961037
990056247590206441	HT007193065	036t961038
990054425200206441	HT004429169	036t961039
990056348340206441	HT007417973	036t961040
990054425190206441	HT004429151	036t961041
990107652900206441	HT012612737	036t990908
990107587430206441	HT012606190	036t961223
990107586590206441	HT012606106	036t961239
990107588590206441	HT012606306	036t961240
990107588400206441	HT012606287	036t961241
990107728990206441	HT012620346	036t961242
990107730230206441	HT012620470	036t961243
990107558750206441	HT012603322	036t961248
990107584320206441	HT012605879	036t961249
990107382650206441	HT012585712	036t961250
990107682660206441	HT012615713	036t961251
990107441950206441	HT012591642	036t961287
990104993290206441	HT012346776	036t961289
990123366120206441	TT000177309	036t970388
990129085520206441	HT014038985	036t970732
990108300930206441	HT012677540	036t970871
990108068430206441	HT012654290	036t001125
990108091080206441	HT012656555	036t971070
990108068740206441	HT012654321	036t971071
990056282420206441	HT007216391	036t971072
990108135050206441	HT012660952	036t971130
990054215590206441	HT002619553	036t971131
990108212240206441	HT012668671	036t971132
990056554470206441	HT008952402	036t971194
990108259450206441	HT012673392	036t971195
990056054480206441	HT007056838	036t930029
990105134790206441	HT012360926	036t971302
990107895360206441	HT012636983	036t971338
990103525350206441	HT012199982	036t971339
990104959280206441	HT012343375	036t930489
990108247710206441	HT012672218	036t971343
990108037670206441	HT012651214	036t971344
990107546030206441	HT012602050	036t971345
990104992800206441	HT012346727	036t981170
990101936050206441	HT012041052	036t971372
990108134490206441	HT012660896	036t971373
990107957150206441	HT012643162	036t971374
990056451160206441	HT007960303	036t990774
990054614950206441	HT006492908	036t971471
990108367940206441	HT012684241	036t971478
990108427300206441	HT012690177	036t971479
990056450970206441	HT007960283	036t971493
990056423860206441	HT007712506	036t971500
990054671930206441	HT006890005	036t971501
990124446930206441	HT013896508	036t971518
990028946890206441	HT007531821	036t980422
990027384560206441	HT007202471	036t980423
990056365360206441	HT007472126	036t991376
990105735260206441	HT012420973	036t980564
990055929440206441	HT007041918	036t980572
990055296020206441	HT006966564	036t980605
