almaMmsId	rpbId	hbzId	zdbId
990108646570206441	RPB036t041379	1472207-0	HT012712104
990133017230206441	RPB036t041518	2157900-3	HT014170977
990133417740206441	RPB036t041809	2168802-3	HT014211473
990133417620206441	RPB036t041810	2168789-4	HT014211461
990133419290206441	RPB036t041811	2168960-X	HT014211628
990133059060206441	RPB036t041812	2162428-8	HT014175160
990113691990206441	RPB036t050027	2047265-1	HT013042313
990133688150206441	RPB036t050143	2171992-5	HT014238824
990133922970206441	RPB036t050144	2174356-3	HT014262576
990124804530206441	RPB036t050145	2135580-0	HT013932667
990113928160206441	RPB036t050146	2049985-1	HT013066107
990113928080206441	RPB036t050147	2049976-0	HT013066099
990156119310206441	RPB036t050183	2273417-X	HT015020653
990056474960206441	RPB036t050312	1397835-4	HT008092691
990365906360206441	RPB036t050314	3011450-0	HT020397892
990106981820206441	RPB036t050341	1238391-0	HT012545629
990056519700206441	RPB036t050342	1425862-6	HT008597110
990133417320206441	RPB036t050344	2168757-2	HT014211431
990134220710206441	RPB036t050345	2178473-5	HT014292752
990132843670206441	RPB036t050346	2149659-6	HT014153497
990132864010206441	RPB036t050347	2150400-3	HT014155544
990133074720206441	RPB036t050349	2164102-X	HT014176726
990113116120206441	RPB036t050350	2008336-1	HT012984548
990108057330206441	RPB036t050503	1396979-1	HT012653180
990132843570206441	RPB036t050527	2149649-3	HT014153487
990133554320206441	RPB036t050539	2170569-0	HT014225274
990133056460206441	RPB036t050540	2162144-5	HT014174900
990133555510206441	RPB036t050541	2170698-0	HT014225393
990104974860206441	RPB036t940114	917065-0	HT012344933
990104984330206441	RPB036t940115	918166-0	HT012345880
990104974400206441	RPB036t940148	917010-8	HT012344887
990106703390206441	RPB036t940172	1200965-9	HT012517786
990104997600206441	RPB036t940303	919756-4	HT012347207
990104997390206441	RPB036t940304	919722-9	HT012347186
990056139020206441	RPB036t940396	1201069-8	HT007066619
990101958650206441	RPB036t940455	31869-3	HT012043312
990170542840206441	RPB036t941197	2438194-9	HT015611722
990101851470206441	RPB036t941215	15709-0	HT012032594
990104955800206441	RPB036t941216	914591-6	HT012343027
990101940110206441	RPB036t941217	29400-7	HT012041458
990056523610206441	RPB036t941218	919083-1	HT008610774
990104973400206441	RPB036t941223	916879-5	HT012344787
990105008890206441	RPB036t941225	921100-7	HT012348336
990056156830206441	RPB036t941227	1211226-4	HT007068648
990105009040206441	RPB036t941336	921121-4	HT012348351
990056070520206441	RPB036t941337	1145215-8	HT007058655
990104967940206441	RPB036t941352	916153-3	HT012344241
990054664970206441	RPB036t941353	12468-0	HT006889149
990056240770206441	RPB036t950287	916272-0	HT007192337
990108119070206441	RPB036t950498	1405056-0	HT012659354
990107526400206441	RPB036t951128	1324990-3	HT012600087
990107406760206441	RPB036t951194	1308320-X	HT012588123
990056331660206441	RPB036t951202	1292119-1	HT007371678
990107443770206441	RPB036t951209	1313122-9	HT012591824
990101946960206441	RPB036t951210	30300-8	HT012042143
990107597560206441	RPB036t951211	1334507-2	HT012607203
990101964500206441	RPB036t951212	32676-8	HT012043897
990101970270206441	RPB036t951215	33440-6	HT012044474
990107332930206441	RPB036t951217	1295174-2	HT012580740
990055902630206441	RPB036t951218	1048861-3	HT007038785
990107597270206441	RPB036t951222	1334459-6	HT012607174
990107323740206441	RPB036t951231	1293976-6	HT012579821
990056222280206441	RPB036t951313	1293314-4	HT007076081
990107529040206441	RPB036t951316	1325369-4	HT012600351
990056245800206441	RPB036t951317	1287227-1	HT007192878
990107519580206441	RPB036t951336	1324050-X	HT012599405
990107658300206441	RPB036t951354	1342407-5	HT012613277
990056365360206441	RPB036t960049	1309981-4	HT007472126
990107599760206441	RPB036t960117	1334787-1	HT012607423
990107672370206441	RPB036t961022	1344147-4	HT012614684
990107647970206441	RPB036t961024	1341047-7	HT012612244
990054587510206441	RPB036t961033	1138958-8	HT006227666
990054587520206441	RPB036t961034	1138959-X	HT006227698
990054587540206441	RPB036t961036	1138960-6	HT006227759
990056163190206441	RPB036t961037	1215365-5	HT007069390
990056247590206441	RPB036t961038	1304309-2	HT007193065
990054425200206441	RPB036t961039	1135881-6	HT004429169
990056348340206441	RPB036t961040	1359258-0	HT007417973
990054425190206441	RPB036t961041	1135884-1	HT004429151
990107652900206441	RPB036t961221	1341699-6	HT012612737
990107587430206441	RPB036t961223	1333139-5	HT012606190
990107586590206441	RPB036t961239	1333020-2	HT012606106
990107588590206441	RPB036t961240	1333301-X	HT012606306
990107588400206441	RPB036t961241	1333268-5	HT012606287
990107728990206441	RPB036t961242	1353489-0	HT012620346
990107730230206441	RPB036t961243	1353664-3	HT012620470
990107558750206441	RPB036t961248	1329321-7	HT012603322
990107584320206441	RPB036t961249	1332726-4	HT012605879
990107382650206441	RPB036t961250	1305227-5	HT012585712
990107682660206441	RPB036t961251	1345515-1	HT012615713
990107441950206441	RPB036t961287	1312885-1	HT012591642
990104993290206441	RPB036t961289	919207-4	HT012346776
990123366120206441	RPB036t970388		TT000177309
990129085520206441	RPB036t970732	2146966-0	HT014038985
990108300930206441	RPB036t970871	1427733-5	HT012677540
990108068430206441	RPB036t971069	1398404-4	HT012654290
990108091080206441	RPB036t971070	1401429-4	HT012656555
990108068740206441	RPB036t971071	1398459-7	HT012654321
990056282420206441	RPB036t971072	1303871-0	HT007216391
990108135050206441	RPB036t971130	1407107-1	HT012660952
990054215590206441	RPB036t971131	518707-2	HT002619553
990108212240206441	RPB036t971132	1416654-9	HT012668671
990056554470206441	RPB036t971194	1412725-8	HT008952402
990108259450206441	RPB036t971195	1422571-2	HT012673392
990056054480206441	RPB036t971274	1134407-6	HT007056838
990105134790206441	RPB036t971302	985722-9	HT012360926
990107895360206441	RPB036t971338	1376378-7	HT012636983
990103525350206441	RPB036t971339	519650-4	HT012199982
990104959280206441	RPB036t971340	915067-5	HT012343375
990108247710206441	RPB036t971343	1421117-8	HT012672218
990108037670206441	RPB036t971344	1394410-1	HT012651214
990107546030206441	RPB036t971345	1327586-0	HT012602050
