almaMmsId	zdbId
99370887236006441; 990191566390206441	2664272-4
99370695778106441; 990191566490206441	2664282-7
99370693197106441; 990191566610206441	2664294-3
99370696006306441; 990191566630206441	2664296-7
990191566700206441; 99370700350506441	2664303-0
99370696006206441; 990191566740206441	2664307-8
990191566830206441; 99370699029506441	2664316-9
99370693901106441; 990191566940206441	2664327-3
99370693901006441; 990191566970206441	2664330-3
99370693901206441; 990191567050206441	2664338-8
990191567070206441; 99370700350406441	2664340-6
99370693900606441; 990191567080206441	2664341-8
99370693900706441; 990191567090206441	2664342-X
990191567330206441; 99370698224406441	2664374-1
990191567360206441; 99370685420906441	2664377-7
990191567710206441; 991004127969706485	2664414-9
99370692940606441; 990191567740206441	2664417-4
990191567820206441; 99370695429706441	2664425-3
99370674235506441; 990191568050206441	2664448-4
990191568170206441; 99370834944506441	2664460-5
99370694206506441; 990191568210206441	2664464-2
990191568220206441; 99370699000606441	2664465-4
990191568280206441; 99370683696106441	2664471-X
99370682970606441; 990191568340206441	2664477-0
990191568390206441; 99370699509906441	2664482-4
99370679326306441; 990191568450206441	2664488-5
99370685269106441; 990191568470206441	2664490-3
99370698859306441; 990191568480206441	2664491-5
99370693900506441; 990191568530206441	2664496-4
990191568560206441; 99370694983106441	2664499-X
99370693900406441; 990191568600206441	2664503-8
99370694200306441; 990191568650206441	2664508-7
99370689745606441; 990191568680206441	2664511-7
99370693905306441; 990191568710206441	2664514-2
99370671002806441; 990191568740206441	2664517-8
99370687668306441; 990191568850206441	2664530-0
99370671002706441; 990191568880206441	2664533-6
99370693905206441; 990191568910206441	2664536-1
990191569110206441; 99370696491406441	2664566-X
990191569120206441; 99370689747606441	2664567-1
99370687891806441; 990191569130206441	2664568-3
99370682683206441; 990191569160206441	2664571-3
990191569180206441; 99370690351706441	2664573-7
99370684336806441; 990191569200206441; 990000306720306443	2664575-0
99370696503206441; 990191569210206441	2664576-2
990191569230206441; 99370686177006441	2664578-6
990191569270206441; 99370698181406441	2664582-8
99370695632306441; 990191569280206441	2664583-X
99370689865206441; 990191569350206441	2664590-7
99370694206406441; 990191569380206441	2664593-2
99370695014106441; 990191569400206441	2664595-6
990191569580206441; 99370696494506441	2664615-8
990191569650206441; 99370695429206441	2664622-5
990191569770206441; 99370699813806441	2664634-1
990191569810206441; 99370696499106441	2664638-9
99370694206906441; 990191569890206441	2664647-X
99370689861406441; 990191569910206441	2664649-3
99370671416606441; 990191569950206441	2664654-7
99370696496406441; 990191570120206441	2664671-7
99370696496506441; 990191570560206441	2664716-3
99370696496706441; 990191570600206441	2664722-9
990191570620206441; 99370693903206441	2664724-2
99370689745506441; 990191570760206441	2664738-2
99370696496606441; 990191570930206441	2664756-4
99370684338906441; 990191570960206441	2664759-X
99370695491406441; 990191570970206441	2664760-6
990191571260206441; 99370691643006441	2664818-0
990191571270206441; 99370698223706441	2664819-2
990191571280206441; 99370682971006441	2664820-9
990191571300206441; 99370683226506441	2664822-2
990191571370206441; 99370689749206441	2664829-5
990191571420206441; 99370693339406441	2664834-9
99370699012206441; 990191571430206441	2664835-0
990191571450206441; 99370688578406441	2664837-4
99370697167906441; 990191571480206441	2664840-4
990191571570206441; 99370697620406441	2664849-0
990191571590206441; 99370688123606441	2664851-9
990191571780206441; 99370694549506441	2664870-2
99370688494106441; 990191571790206441	2664871-4
990191572040206441; 99370696492006441	2664898-2
99370694678506441; 990191572070206441	2664901-9
99370696084006441; 990191572110206441	2664905-6
99370699511606441; 990191572130206441	2664907-X
990191565450206441; 99370683813306441	2664968-8
990191573660206441; 99370695884306441	2665071-X
99370671570406441; 990191573780206441	2665083-6
99370683837106441; 990191573910206441	2665097-6
990191574080206441; 99370688040006441	2665114-2
990191574110206441; 99370698220206441	2665117-8
99370682169606441; 990191574130206441	2665119-1
99370692242706441; 990191574590206441	2665170-1
99370698219506441; 990191575770206441	2665288-2
990191575900206441; 99370698219606441	2665301-1
99370690561806441; 990191662310206441	2665357-6
99370696495006441; 990191662370206441	2665363-1
990191662450206441; 99370697497906441	2665371-0
99370697494206441; 990191662510206441	2665377-1
990191662650206441; 99370696497906441	2665391-6
99371458776406441; 990191662840206441	2665412-X
990191662890206441; 99370887594006441	2665417-9
99370698219706441; 990191662930206441	2665421-0
990191663010206441; 99370698026506441	2665429-5
99370687307006441; 990191663200206441	2665448-9
99370695492206441; 990191663570206441	2665490-8
99370670399506441; 990191664050206441	2665540-8
99370698219406441; 990191664060206441	2665541-X
990191664100206441; 99370676066206441	2665545-7
990191664240206441; 99370693902606441	2665576-7
99370696494806441; 990191664320206441	2665584-6
990191664490206441; 99370694206706441	2665602-4
990191664810206441; 99370677619706441	2665635-8
990191664850206441; 99370677615706441	2665639-5
990191664970206441; 99370696493606441	2665661-9
990191665000206441; 99371924771506441	2665664-4
99370698217506441; 990191665160206441	2665680-2
99370698217706441; 990191665260206441	2665691-7
990191665550206441; 99370694206606441	2665721-1
99370698217606441; 990191665610206441	2665728-4
990191665760206441; 99370698223306441	2665743-0
99370696497206441; 990191665920206441	2665759-4
99370696497306441; 990191665990206441	2665766-1
99370696497706441; 990191666020206441	2665769-7
990191666060206441; 99370692401706441	2665773-9
990191666070206441; 99370689313606441	2665774-0
99370682833906441; 990191666320206441	2665814-8
99370696497806441; 990191666330206441	2665816-1
99370694207306441; 990191666350206441	2665818-5
99370693904406441; 990191666780206441	2665861-6
99370696497506441; 990191666830206441	2665867-7
99370696497406441; 990191666860206441	2665870-7
99370696497606441; 990191667370206441	2665924-4
990191667450206441; 99370696493006441	2665932-3
99370694199006441; 990191667460206441	2665933-5
99370694198906441; 990191667500206441	2665937-2
99370694199106441; 990191667510206441	2665938-4
99370689742806441; 990191667710206441	2665964-5
990191667760206441; 99370695543506441	2665970-0
99370887460606441; 990191668050206441	2666000-3
990191668080206441; 99370696499306441	2666003-9
990191668100206441; 99370694199806441	2666005-2
990191668170206441; 99370685892806441	2666012-X
990191668560206441; 99370696495406441	2666055-6
990191668580206441; 99370694685406441	2666057-X
99370678199606441; 990191668760206441	2666086-6
99370689747806441; 990191668810206441	2666091-X
99370699062706441; 990191669040206441	2666116-0
99370683012306441; 990191669100206441	2666122-6
99370688418606441; 990191669180206441	2666130-5
990191669240206441; 99370694198806441	2666136-6
99370689748406441; 990191669260206441	2666138-X
99370699063406441; 990191669380206441	2666153-6
99370688941606441; 990191669470206441	2666162-7
990191669580206441; 99370686587506441	2666173-1
99370686393206441; 990191669640206441	2666179-2
990191669730206441; 99370689861006441	2666190-1
99370694198506441; 990191669880206441	2666206-1
99370696499706441; 990191669890206441	2666207-3
990191670190206441; 99370694195406441	2666238-3
990191670220206441; 99370698220306441	2666241-3
990191670260206441; 99370696500006441	2666245-0
990191670270206441; 99370696493806441	2666246-2
99370696495906441; 990191670330206441	2666252-8
99370677330106441; 990191670560206441	2666275-9
990191670680206441; 99370694526806441	2666288-7
990191888680206441; 99370696495106441	2666336-3
99370699897806441; 990191888710206441	2666339-9
99370694207206441; 990191888770206441	2666345-4
990191888880206441; 99370694207106441	2666355-7
99370685585206441; 990191889140206441	2666384-3
99370687898706441; 990191889180206441	2666389-2
99370696494406441; 990191889280206441	2666400-8
990191889300206441; 99370686487206441	2666402-1
990191889330206441; 99370690596206441	2666406-9
99370694207006441; 990191889370206441	2666410-0
99370694195606441; 990191889410206441	2666415-X
990191889500206441; 99370694207706441	2666424-0
990191889670206441; 99370693903906441	2666441-0
990191889700206441; 99370696498206441	2666444-6
990191889850206441; 99370696498106441	2666459-8
990191889880206441; 99370693904006441	2666462-8
99370696498006441; 990191889890206441	2666463-X
990191889920206441; 99370696495706441	2666467-7
99370687201806441; 990191889970206441	2666473-2
99370673183506441; 990191890000206441	2666476-8
99370676007206441; 990191890060206441	2666482-3
990191890270206441; 99370682508606441	2666517-7
990191890310206441; 99370689748206441	2666522-0
990191890330206441; 99370689748106441	2666524-4
990191890340206441; 99370689748006441	2666525-6
990191890580206441; 99370677615506441	2666550-5
990191890670206441; 99370686978106441	2666559-1
990191890700206441; 99370686189006441	2666562-1
99370689750406441; 990191890780206441	2666571-2
990191890790206441; 99370695493606441	2666572-4
990191890820206441; 99370694207606441	2666575-X
990191890840206441; 99370694207506441	2666577-3
990191890910206441; 99370698224706441	2666584-0
990191890970206441; 99370695325106441	2666590-6
990191891040206441; 99370695493206441	2666597-9
990191891100206441; 99370695494206441	2666603-0
99370689743806441; 990191891150206441	2666608-X
990191891300206441; 99370698219106441	2666623-6
99370677420706441; 990191891360206441	2666629-7
990191891400206441; 99370676445106441	2666633-9
990191891550206441; 99370696493706441	2666648-0
99370679564206441; 990191891830206441	2666678-9
99370694207406441; 990191891840206441	2666679-0
99370679256406441; 990191892110206441	2666706-X
99370673999706441; 990191892120206441	2666707-1
99370673999606441; 990191892130206441	2666708-3
990191892230206441; 99370687470906441	2666719-8
99370679205606441; 990191892370206441	2666735-6
99370673253406441; 990191892460206441	2666744-7
990191892550206441; 99370700226906441	2666757-5
99370700226506441; 990191892630206441	2666765-4
99370689876206441; 990191892660206441	2666768-X
99370696556206441; 990191892720206441	2666774-5
99370690044106441; 990191892800206441	2666782-4
99370685908206441; 990191892830206441	2666785-X
99370684524106441; 990191892860206441	2666789-7
990191892890206441; 99370692698706441	2666792-7
990191892970206441; 99370697295106441	2666800-2
99370688164706441; 990191893000206441	2666803-8
99370699585006441; 990191893030206441	2666806-3
99370699511306441; 990191893060206441	2666809-9
99370694200406441; 990191893140206441	2666817-8
990191893400206441; 99370696031306441	2666847-6
99370699600606441; 990191893480206441	2666855-5
990191893530206441; 99370694500306441	2666860-9
990191893590206441; 99370695542306441	2666866-X
990191893600206441; 99370683967406441	2666867-1
990191894060206441; 99370887499806441	2666914-6
99370676089006441; 990191894160206441	2666925-0
99370696491506441; 990191895290206441	2667058-6
990191895300206441; 99370695493306441	2667059-8
99370682508106441; 990191895310206441	2667061-6
990191895350206441; 99370689064406441	2667065-3
990191895410206441; 99370695489106441	2667072-0
990191895450206441; 99370688508706441	2667076-8
99370684726506441; 990191895490206441	2667080-X
99370699995406441; 990191895500206441	2667081-1
99370695640106441; 990191895530206441	2667085-9
99370689749706441; 990191895760206441	2667108-6
99370695542006441; 990191895900206441	2667122-0
99370695473406441; 990191895950206441	2667127-X
990191896900206441; 99370688185206441	2667228-5
990191897040206441; 99370698224306441	2667242-X
99370691421506441; 990191897350206441	2667282-0
990191897370206441; 99370695473606441	2667284-4
990191897380206441; 99370692326106441	2667285-6
990191897400206441; 99370692326006441	2667287-X
990191897420206441; 99370695541706441	2667289-3
990191897430206441; 99370695539606441	2667290-X
990191897450206441; 99370695539506441	2667292-3
990191897460206441; 99370696204006441	2667293-5
990191897470206441; 99370695538806441	2667294-7
99370699279206441; 990191897490206441	2667296-0
99370699279406441; 990191897500206441	2667297-2
990191897520206441; 99370685589506441	2667299-6
990191897530206441; 99370687895306441	2667300-9
990191897560206441; 99370695543306441	2667303-4
990191897570206441; 99370691699506441	2667304-6
990191897590206441; 99370696202806441	2667306-X
990191897600206441; 99370695540406441	2667307-1
99370687894906441; 990191897610206441	2667308-3
990191897630206441; 99370696204306441	2667310-1
990191897650206441; 99370695542806441	2667312-5
99370696204706441; 990191897660206441	2667313-7
99370687897806441; 990191897680206441	2667315-0
990191897700206441; 99370696204506441	2667317-4
990191897720206441; 99370695543006441	2667319-8
99370695540006441; 990191897730206441	2667320-4
990191897740206441; 99370687893206441	2667321-6
99370699279306441; 990191897770206441	2667324-1
990191897810206441; 99370685589306441	2667328-9
990191897940206441; 99370695540106441	2667341-1
990191897980206441; 99370695543206441	2667346-0
990191898020206441; 99370695538606441	2667350-2
990191898040206441; 99370687894206441	2667352-6
99370678499106441; 990191898150206441	2667363-0
990191898200206441; 99370683229506441	2667368-X
990191898400206441; 99370693467606441	2667388-5
99370691973606441; 990191898510206441	2667399-X
990191899100206441; 99370691675206441	2667464-6
99370691418706441; 990191899200206441; 990192396700206441	2667474-9
99370673376806441; 990191899650206441	2667520-1
99370674071306441; 990191899680206441	2667523-7
99370696492906441; 990191899700206441	2667525-0
990191991070206441; 99370691281706441	2667527-4
990191991080206441; 99370689744706441	2667528-6
99370689743706441; 990191991110206441	2667531-6
990191991160206441; 99370698864006441	2667536-5
990191991220206441; 99370695492806441	2667542-0
990191991250206441; 99370690047406441	2667545-6
990191991280206441; 99370694500206441	2667548-1
990191991290206441; 99370683839906441	2667549-3
990191991300206441; 99370687519406441	2667550-X
99370692257006441; 990191991310206441	2667551-1
990191991340206441; 99370686975606441	2667554-7
99370688479306441; 990191991440206441	2667565-1
99370694500106441; 990191991520206441	2667573-0
990191991530206441; 99370694199706441	2667574-2
99370691328706441; 990191991580206441	2667579-1
99370694200806441; 990191991740206441	2667595-X
990191991780206441; 99370694200706441	2667599-7
990191991790206441; 99370694200606441	2667600-X
990191991810206441; 99370694200506441	2667602-3
99370683862106441; 990191991820206441	2667603-5
99370695493906441; 990191991840206441	2667605-9
99370707949206441; 990191991910206441	2667613-8
99370699916806441; 990191992110206441	2667634-5
990191992160206441; 99370693517806441	2667639-4
99370674238306441; 990191992530206441	2667677-1
99370694201206441; 990191992640206441	2667688-6
990191992660206441; 99370695884206441	2667690-4
990191992670206441; 99370688530806441	2667691-6
990191992790206441; 99370688801606441	2667703-9
99370687266206441; 990191992930206441	2667717-9
99370688803006441; 990191992940206441	2667718-0
99370698218606441; 990191993150206441	2667739-8
99370691976206441; 990191993340206441	2667782-9
990191993350206441; 99370686190206441	2667783-0
990191993380206441; 99370694923006441	2667786-6
990191993440206441; 99370694201106441	2667792-1
99370694189306441; 990191993470206441	2667795-7
990191993480206441; 99370683336606441	2667796-9
99370700228106441; 990191993490206441	2667797-0
990191993670206441; 99370692135606441	2667815-9
99370694197406441; 990191993720206441	2667820-2
990191993770206441; 99370694201006441	2667825-1
990191993820206441; 99370682683806441	2667831-7
990191993830206441; 99370694199606441	2667832-9
99370700196406441; 990191993840206441	2667833-0
99370682068806441; 990191993930206441	2667842-1
990191993970206441; 99370697929706441	2667846-9
99370694200906441; 990191993990206441	2667848-2
990191994020206441; 99370684707206441	2667851-2
99370693524606441; 990191994070206441	2667857-3
99370675696606441; 990191994130206441	2667863-9
99370695493106441; 990191994330206441	2667884-6
99370683008506441; 990191994380206441	2667889-5
99370696868406441; 990191994420206441	2667894-9
990191994510206441; 99370699451706441	2667903-6
99370689898006441; 990191994530206441	2667905-X
99370684943606441; 990191994560206441	2667908-5
990191994600206441; 99370697694506441	2667912-7
990191994620206441; 99370699824906441	2667914-0
99370690044206441; 990191994640206441	2667916-4
99370694201606441; 990191994960206441	2667948-6
99370694201506441; 990191995640206441	2668017-8
99370694771506441; 990191995720206441	2668025-7
99370695492506441; 990191995830206441	2668051-8
99370693199406441; 990191995840206441	2668052-X
990191995850206441; 99370695428206441	2668053-1
990191995860206441; 99370693974806441	2668054-3
990191995870206441; 99370686190006441	2668055-5
990191995940206441; 99370700228706441	2668062-2
990191995980206441; 99370700228406441	2668066-X
99370686398206441; 990191996000206441	2668068-3
990191996020206441; 99370689749006441	2668070-1
99370695494306441; 990191996030206441	2668071-3
99370686193706441; 990191996060206441	2668075-0
990191996100206441; 99370695489006441	2668079-8
990191996130206441; 99370693463406441	2668082-8
99370689741806441; 990191996190206441	2668089-0
99370690013706441; 990191996230206441	2668093-2
99370697297906441; 990191996270206441	2668097-X
99370699511706441; 990191996350206441	2668105-5
990191996390206441; 99370695630906441	2668109-2
990191996410206441; 99370689742906441	2668111-0
990191996440206441; 99370700187006441	2668114-6
99370686293506441; 990191996480206441	2668118-3
99370689913606441; 990191996550206441	2668125-0
990191996620206441; 99370690400306441	2668132-8
99370689743606441; 990191996660206441	2668136-5
99370683865706441; 990191996760206441	2668146-8
99370691109806441; 990191996810206441	2668151-1
990191997090206441; 99370698219306441	2668179-1
990191997200206441; 99370694197306441	2668190-0
990191997550206441; 99370694201406441	2668237-0
99370693377406441; 990191997600206441	2668242-4
990191997640206441; 99370686980806441	2668246-1
990191997660206441; 99370696491606441	2668248-5
990191997730206441; 99370671382406441	2668255-2
99370696963306441; 990191997760206441	2668258-8
990191997880206441; 99370684765506441	2668270-9
990191997950206441; 99370698223906441	2668277-1
990191997980206441; 99370693233806441	2668280-1
990191998370206441; 99370694201306441	2668320-9
990191998590206441; 99370685593506441	2668343-X
99370695015306441; 990191998630206441	2668348-9
99370698414106441; 990191998950206441	2668380-5
99370674000206441; 990191998960206441	2668381-7
99370698414706441; 990191998970206441	2668382-9
99370674000306441; 990191998980206441	2668383-0
990191999000206441; 99370698414206441	2668385-4
99370698414306441; 990191999020206441	2668387-8
99370698410806441; 990191999030206441	2668388-X
990191999040206441; 99370698411706441	2668389-1
990191999050206441; 99370692400706441	2668390-8
99370683864806441; 990191999080206441	2668408-1
99370672292706441; 990191999130206441	2668413-5
99370673480006441; 990191999140206441	2668414-7
99370694202006441; 990191999150206441	2668415-9
99370686726606441; 990191999170206441	2668417-2
99370672965206441; 990191999180206441	2668418-4
99370686726806441; 990191999190206441	2668419-6
990191999200206441; 99370686727006441	2668420-2
99370694201906441; 990191999210206441	2668421-4
99370686724506441; 990191999220206441	2668422-6
990191999230206441; 99370776228406441	2668423-8
99370686724806441; 990191999240206441	2668424-X
99370686724706441; 990191999250206441	2668425-1
990191999270206441; 99370686725006441	2668427-5
99370683145506441; 990191999280206441	2668428-7
990191999290206441; 99370694201806441	2668429-9
990191999300206441; 99370686725606441	2668430-5
990191999320206441; 99370686725506441	2668432-9
990191999330206441; 99370685591206441	2668433-0
990191999350206441; 99370686733006441	2668435-4
99370694201706441; 990191999360206441	2668436-6
99370684573506441; 990191999370206441	2668437-8
99370686733406441; 990191999380206441	2668438-X
990191999390206441; 99370686733506441	2668439-1
99370693234006441; 990191999410206441	2668441-X
99370694202406441; 990191999430206441	2668443-3
99370693232406441; 990191999440206441	2668444-5
990191999480206441; 99370694202206441	2668447-0
990191999490206441; 99370689223506441	2668448-2
990191999500206441; 99370689223406441	2668449-4
99370683609506441; 990191999550206441	2668454-8
990191999560206441; 99370689227106441	2668455-X
99370694202106441; 990191999580206441	2668457-3
99370694202806441; 990191999600206441	2668459-7
990191999620206441; 99370694202706441	2668461-5
990191999630206441; 99370689228806441	2668462-7
990191999640206441; 99370689230906441	2668463-9
99370694202606441; 990191999650206441	2668464-0
990191999660206441; 99370694202506441	2668465-2
990191999710206441; 99370698375006441	2668470-6
99370688715006441; 990191999800206441	2668480-9
990191999850206441; 99370694203206441	2668485-8
99370698223506441; 990191999870206441	2668487-1
990192000070206441; 99370696205306441	2668507-3
99370694197006441; 990192000200206441	2668521-8
99370694197106441; 990192000630206441	2668567-X
99371436755606441; 990192071360206441	2668622-3
990192071420206441; 99370693440406441	2668630-2
99370685001106441; 990192071430206441	2668631-4
990192071480206441; 99370698217806441	2668636-3
99370692332506441; 990192071490206441	2668637-5
99370686717306441; 990192071520206441	2668640-5
990192071550206441; 99370685118706441	2668643-0
990192071630206441; 99370689747206441	2668651-X
99370685151806441; 990192071660206441	2668654-5
990192071700206441; 99370695494706441	2668658-2
99370694203106441; 990192071720206441	2668660-0
99370674227806441; 990192071840206441	2668672-7
99370694196706441; 990192071870206441	2668674-0
99370694195906441; 990192071890206441	2668676-4
990192071950206441; 99370682688106441	2668682-X
99370788200906441; 990192072000206441	2668687-9
990192072090206441; 99370694203006441	2668696-X
99370695577206441; 990192072150206441	2668702-1
99370694202906441; 990192072270206441	2668715-X
990192072340206441; 99370694203606441	2668722-7
99370682837706441; 990192072380206441	2668726-4
99370796948606441; 990192072550206441	2668743-4
99370688165906441; 990192072580206441	2668746-X
990192072660206441; 99370684477806441	2668754-9
990192072690206441; 99370696498306441	2668757-4
99370670418506441; 990192072750206441	2668763-X
99370688714606441; 990192072770206441	2668765-3
99370695181006441; 990192072830206441	2668771-9
99370696493306441; 990192072880206441	2668776-8
99370694203506441; 990192072890206441	2668777-X
99370675062606441; 990192073240206441	2668814-1
99370696375206441; 990192073580206441	2668849-9
990192073620206441; 99370689742606441	2668876-1
99370677329306441; 990192073670206441	2668881-5
990192073800206441; 99370684426706441	2668896-7
99370692015006441; 990192073880206441	2668904-2
99370695472106441; 990192073990206441	2668916-9
99370699468606441; 990192074420206441	2668963-7
990192074440206441; 99370696491706441	2668965-0
99370709338406441; 990192074560206441	2668977-7
99370674386806441; 990192075370206441	2669059-7
99370678962406441; 990192075440206441	2669066-4
990192075450206441; 99370699828906441	2669067-6
990192075470206441; 99370682374706441	2669069-X
990192075500206441; 99370696028006441	2669073-1
99370673929306441; 990192075510206441	2669074-3
990192075670206441; 99370694580406441	2669100-0
99370694203406441; 990192075690206441	2669102-4
99370698245106441; 990192075710206441	2669104-8
990192075770206441; 99370694534406441	2669113-9
99370673997806441; 990192075820206441	2669118-8
99370699880306441; 990192075910206441	2669127-9
99370700147906441; 990192075950206441	2669131-0
990192075970206441; 99370684718306441	2669133-4
990192076090206441; 99370694199406441	2669145-0
990192076170206441; 99370700296606441	2669153-X
990192076230206441; 99370685120906441	2669159-0
99371458624806441; 990192076270206441	2669163-2
990192076280206441; 99370695488306441	2669164-4
99370679323706441; 990192076320206441	2669168-1
990192076350206441; 99370885511206441	2669171-1
990192076390206441; 99370694203306441	2669175-9
990192076490206441; 99370693902706441	2669185-1
99370671410506441; 990192076840206441	2669220-X
99370685906706441; 990192077080206441	2669244-2
99370691717806441; 990192077150206441	2669251-X
99370696011206441; 990192077410206441	2669278-8
990192077430206441; 99370686173406441	2669280-6
99370887206906441; 990192077480206441	2669285-5
990192077620206441; 99370674961606441	2669306-9
990192077680206441; 99370687007606441	2669312-4
99370694199306441; 990192077710206441	2669315-X
99370695322406441; 990192077720206441	2669316-1
990192077730206441; 99370699013206441	2669317-3
990192077780206441; 99370688587706441	2669322-7
990192077930206441; 99370684476306441	2669337-9
99370700249906441; 990192078330206441	2669382-3
99370687893806441; 990192078410206441	2669390-2
99370690530606441; 990192078840206441	2669435-9
99370689745806441; 990192079010206441	2669453-0
99370694203706441; 990192079220206441	2669477-3
990192079280206441; 99370698223606441	2669488-8
990192079290206441; 99370697038906441	2669489-X
990192079300206441; 99370682801606441	2669490-6
990192079320206441; 99370690629706441	2669492-X
990192079330206441; 99370690182806441	2669493-1
99370689392006441; 990192079340206441	2669494-3
99370696029806441; 990192079360206441	2669496-7
990192079430206441; 99370696491906441	2669503-0
99370695492306441; 990192079490206441	2669509-1
990192079620206441; 99370689745306441	2669522-4
99370693233106441; 990192079640206441	2669524-8
99370706400206441; 990192079730206441	2669533-9
990192080240206441; 99370691332006441	2669587-X
990192080460206441; 99370673329306441	2669614-9
990192080480206441; 99370673329706441	2669616-2
990192080980206441; 99370703577906441	2669667-8
990192162160206441; 99370689923206441	2669680-0
990192162170206441; 99370693438906441	2669681-2
99370700003606441; 990192162200206441	2669684-8
99370673600706441; 990192162290206441	2669693-9
99370675373106441; 990192162400206441	2669704-X
99370671006706441; 990192162480206441	2669713-0
990192162520206441; 99370690997206441	2669717-8
990192162530206441; 99370683266006441	2669718-X
990192162550206441; 99370686732606441	2669720-8
990192162570206441; 99370687367406441	2669722-1
990192162580206441; 99370699884506441	2669723-3
99370671004806441; 990192162600206441	2669725-7
990192162650206441; 99370694195806441	2669730-0
990192162830206441; 99370693905006441	2669748-8
99370693905106441; 990192162940206441	2669759-2
99370674342306441; 990192163100206441	2669775-0
99370674340906441; 990192163300206441	2669795-6
99370694196806441; 990192163630206441	2669828-6
99370694204306441; 990192163720206441	2669838-9
990192163850206441; 99370694204206441	2669851-1
990192164080206441; 99370673326106441	2669875-4
990192164130206441; 99370673326006441	2669880-8
990192164180206441; 99370673326406441	2669885-7
990192164190206441; 99370673326306441	2669886-9
990192164210206441; 99370673326906441	2669888-2
99370673326806441; 990192164230206441	2669890-0
990192164260206441; 99370673326606441	2669893-6
990192164270206441; 99370673327206441	2669894-8
990192164290206441; 99370673327006441	2669896-1
990192164310206441; 99370673329806441	2669898-5
99370673330306441; 990192164320206441	2669899-7
990192164330206441; 99370673330106441	2669900-X
990192164340206441; 99370673330006441	2669901-1
99370673330706441; 990192164350206441	2669902-3
990192164360206441; 99370673330406441	2669903-5
990192164370206441; 99370673330506441	2669904-7
990192164380206441; 99370673329106441	2669905-9
990192164390206441; 99370673329006441	2669906-0
990192164400206441; 99370677467706441	2669907-2
990192164430206441; 99370677468006441	2669910-2
990192164440206441; 99370677467906441	2669911-4
99370677149906441; 990192164480206441	2669915-1
990192164540206441; 99370688162306441	2669934-5
99370682685506441; 990192164550206441	2669935-7
99370686190106441; 990192164560206441	2669936-9
990192164620206441; 99370690295806441	2669942-4
99370687392106441; 990192164850206441	2669965-5
99370694198006441; 990192164940206441	2669974-6
990192165090206441; 99370700191606441	2669992-8
990192165130206441; 99370693896806441	2669996-5
990192165150206441; 99370687012706441	2669998-9
990192165170206441; 99370682801406441	2670000-1
99370673251206441; 990192165470206441	2670033-5
99370673250906441; 990192165590206441	2670046-3
990192165940206441; 99370694195706441	2670082-7
99370677418406441; 990192165970206441	2670085-2
99370694204106441; 990192166460206441	2670134-0
99370672866306441; 990192166470206441	2670135-2
990192166520206441; 99370697439806441	2670140-6
99370677421306441; 990192166900206441	2670179-0
99370674066906441; 990192167060206441	2670196-0
99370678967206441; 990192167090206441	2670204-6
990192167100206441; 99370695016206441	2670205-8
990192167140206441; 99370693110806441	2670209-5
990192167170206441; 99370690137306441	2670212-5
99370696502906441; 990192167200206441	2670215-0
990192167210206441; 99370699198706441	2670216-2
99370685095606441; 990192167360206441	2670231-9
990192167470206441; 99370777753706441	2670243-5
99370694204006441; 990192167530206441	2670249-6
990192167560206441; 99370691634706441	2670252-6
99370695033506441; 990192167580206441	2670254-X
990192167650206441; 99370698830006441	2670261-7
990192167680206441; 99370691669606441	2670264-2
990192167930206441; 99370696495206441	2670290-3
990192168180206441; 99370698222906441	2670315-4
99370694204706441; 990192168370206441	2670335-X
990192168410206441; 99370683841506441	2670339-7
990192168640206441; 99370673255606441	2670363-4
990192168750206441; 99370698220506441	2670384-1
990192168760206441; 99370694204606441	2670385-3
990192168770206441; 99370698224806441	2670386-5
99370695513306441; 990192168910206441	2670400-6
990192168940206441; 99370693894206441	2670404-3
990192168990206441; 99370686189806441	2670411-0
99370690143306441; 990192169020206441	2670414-6
99370697570906441; 990192169030206441	2670415-8
99370696100506441; 990192169240206441	2670436-5
990192169270206441; 99370693716606441	2670439-0
990192169390206441; 99370698857506441	2670454-7
990192169420206441; 99370683094406441	2670457-2
990192169560206441; 99371597326906441	2670471-7
990192169600206441; 99370693972206441	2670475-4
990192169730206441; 99370698831606441	2670488-2
990192169830206441; 99370677767206441	2670498-5
990192170190206441; 99370674284306441	2670534-5
990192170410206441; 99370708587506441	2670556-4
99370683867206441; 990192170510206441	2670566-7
99370679167906441; 990192170550206441	2670570-9
99370698831406441; 990192170580206441	2670573-4
990192170730206441; 99370690141706441	2670588-6
99370688414606441; 990192170770206441	2670592-8
990192170830206441; 99370673502306441	2670598-9
990192170850206441; 99370698651006441	2670600-3
99370690136706441; 990192170860206441	2670601-5
99370690138006441; 990192170910206441	2670606-4
990192171360206441; 99370677465606441	2670653-2
99370685419406441; 990192171700206441	2670687-8
99370671032506441; 990192172090206441	2670726-3
99370702361406441; 990192172160206441	2670733-0
99370678425006441; 990192172250206441	2670742-1
99370678415606441; 990192172360206441	2670753-6
99370834942906441; 990192172740206441	2670792-5
99370688501906441; 990192172910206441	2670809-7
990192172930206441; 99370670700106441	2670811-5
99370676177206441; 990192173000206441	2670818-8
99370676485806441; 990192173370206441	2670857-7
99370689743406441; 990192173430206441	2670866-8
99370688163806441; 990192173490206441	2670872-3
99370688512006441; 990192173500206441	2670873-5
990192173560206441; 99370695175906441	2670879-6
990192173810206441; 99370675265906441	2670904-1
