almaMmsId	zdbId
99370671804206441; 990108565540206441	1461328-1
99370670645606441; 990108565610206441	1461336-0
990108565670206441; 99370671809906441	1461347-5
990108565760206441; 99370671806906441	1461358-X
99370670645306441; 990108565920206441	1461378-5
990108566000206441; 99370671808406441	1461389-X
990108566070206441; 99370670645006441	1461396-7
99370671802606441; 990108566300206441	1461427-3
99370677275606441; 990056673330206441	1461596-4
990056715610206441; 99370679162106441	1461794-8
99370675261006441; 990056622610206441	1461798-5
990108569100206441; 99370673692306441	1461819-9
99370670645706441; 990108569320206441	1461865-5
99370674187906441; 990056723680206441	1461952-0
990108569960206441; 99370679184806441	1461957-X
99370671688606441; 990056723690206441	1461974-X
99370672923806441; 990056723700206441	1462019-4
99370679161506441; 990056723720206441	1462037-6
99370679165706441; 990056723730206441	1462046-7
99370677019206441; 990108570730206441	1462065-0
99370679162506441; 990056723740206441	1462070-4
99370672106106441; 990056723750206441	1462082-0
99370671624406441; 990056723760206441	1462083-2
99370672104006441; 990108570930206441	1462091-1
99370672453406441; 990108571170206441	1462117-4
990056723770206441; 99370679170006441	1462120-4
99370679182506441; 990108571240206441	1462126-5
99370671776106441; 990108571290206441	1462131-9
99370673338406441; 990056723780206441	1462132-0
99370673523906441; 990056723800206441	1462139-3
99370671625006441; 990056723810206441	1462140-X
99370678063906441; 990108571390206441	1462145-9
99370677488206441; 990056723820206441; 991000075359706485	1462149-6
990108571440206441; 991000072619706485; 99370679163206441	1462152-6
99370671805206441; 990108571480206441	1462158-7
99370673528706441; 990056720800206441	1462176-9
99370670725706441; 990108571670206441	1462186-1
990108571980206441; 99370670648806441	1462232-4
99370670645406441; 990108572120206441	1462255-5
99370671805806441; 990108572160206441	1462261-0
990056622620206441; 990000085890306443; 99370694112706441	1462368-7
99370671807306441; 990056653180206441	1462477-1
99370671804106441; 990108573950206441	1462491-6
990108574000206441; 99370671803106441	1462498-9
99370673628406441; 990108574110206441	1462512-X
99370671805606441; 990108574150206441	1462519-2
99370670650206441; 990108574770206441	1462601-9
99370671808906441; 990108574830206441	1462608-1
990108574940206441; 99370689478306441; 99370691962006441	1462620-2
99370687346406441; 99370683906806441; 990056703280206441	1462626-3
99370671968106441; 990056715630206441	1462674-3
99370675202106441; 990108575370206441	1462685-8
99370673452606441; 990108575410206441	1462690-1
990108575420206441; 99370671684206441	1462693-7
99370675201306441; 990108575540206441	1462706-1
990056625020206441; 99370683903106441	1462851-X
99370683262906441; 990056638010206441	1462852-1
990056638020206441; 99370683261706441	1462855-7
990108576620206441; 99370674917006441	1462860-0
99370670650106441; 990108576700206441	1462875-2
99370671806606441; 990108576750206441	1462883-1
990108576810206441; 99370670726006441	1462895-8
99370671688506441; 990108576830206441; 991000026969706485	1462900-8
990108576850206441; 99370670650006441	1462903-3
99370679161306441; 990056723840206441	1462913-6
990108576910206441; 99370671801506441	1462916-1
99370679162206441; 990056723850206441	1462918-5
99370671802506441; 990108576950206441	1462923-9
99370679164406441; 990056723860206441	1462930-6
99370679168606441; 990056723870206441	1462940-9
99370679167806441; 990056723880206441	1462945-8
99370679166306441; 990056723890206441	1462953-7
99370673524906441; 990108577220206441	1462966-5
990056723900206441; 99370678533706441; 991002185029706485	1462970-7
99370674527206441; 990056723910206441; 991002185109706485	1462973-2
990108577290206441; 99370676420106441	1462976-8
99370674188506441; 990056723920206441	1462980-X
99370673524006441; 990056723940206441	1462998-7
99370674183706441; 990056723950206441	1463000-X
99370671028406441; 990056720810206441	1463001-1
99370671682606441; 990056723960206441	1463004-7
99370678535306441; 990056723970206441	1463005-9
99370671625506441; 990056723980206441	1463007-2
99370672076006441; 990108577500206441; 991000069649706485	1463009-6
99370674181906441; 990056723990206441	1463010-2
99370672927306441; 990056724010206441; 991000039449706485	1463014-X
99370671257706441; 990056724020206441	1463021-7
99370677088806441; 990108577610206441	1463024-2
99370671232206441; 990056720820206441	1463026-6
990056724040206441; 99370672929506441	1463030-8
99370677276006441; 990108577660206441	1463033-3
99370673340306441; 990056724050206441	1463034-5
99370678535906441; 990056724060206441	1463035-7
99370677282506441; 990056724070206441; 991000065889706485	1463036-9
99370675823606441; 990056724080206441	1463037-0
99370671689206441; 990056724100206441	1463039-4
99370674185206441; 990108578540206441	1463157-X
99370673332506441; 990108578570206441	1463160-X
99370678536206441; 990056724110206441	1463166-0
99370678533306441; 990108578630206441	1463169-6
99370671689706441; 990108578640206441	1463171-4
99371458514906441; 990056724120206441; 991000067979706485	1463175-1
99370678533906441; 990056724140206441	1463179-9
99370678531506441; 990108578700206441	1463183-0
99370671809706441; 990108578720206441	1463187-8
99370671804806441; 990108578740206441	1463190-8
990108578750206441; 99370670649906441	1463192-1
99370671808506441; 990108578780206441	1463198-2
990108578810206441; 99370670649806441	1463203-2
99370671806706441; 990108578890206441	1463213-5
99370699850706441; 990108579110206441	1463243-3
99370676744906441; 990056724180206441	1463249-4
99370673526106441; 990056724190206441	1463255-X
99370673335906441; 990056724200206441	1463276-7
99370674189706441; 990108579460206441	1463287-1
990108579530206441; 99370679185506441	1463296-2
99370672102306441; 990108579570206441	1463303-6
99370671254606441; 990108579620206441	1463308-5
99370676417606441; 990056724220206441	1463317-6
99370677492806441; 990056720840206441	1463338-3
99370676056306441; 990108580090206441	1463377-2
99370679170506441; 990108580250206441	1463397-8
99370673529906441; 990056720890206441	1463826-5
99370673451206441; 990056720900206441	1463841-1
99370674183306441; 990056720910206441	1463844-7
99370671684506441; 990056724260206441	1463920-8
99370675982506441; 990056724270206441	1463941-5
99370677279206441; 990056724280206441	1463993-2
99370676418706441; 990056724290206441	1464001-6
990108585080206441; 99370678539806441	1464026-0
99370677275906441; 990108585090206441	1464028-4
99370678538906441; 990056720930206441	1464202-5
99370674188806441; 990108586500206441	1464208-6
99370673523506441; 990056724310206441	1464213-X
99370675015906441; 990056720940206441	1464215-3
99370676054506441; 990056724320206441	1464309-1
990108587750206441; 99370679160806441	1464419-8
99370697610306441; 990056683150206441	1464444-7
990056640250206441; 99370673124806441	1465132-4
990056625620206441; 99370696471306441	1465186-5
990108594500206441; 99370671028506441	1465318-7
990056625860206441; 99370671622606441	1465366-7
99370679143506441; 990108594830206441	1465368-0
99370672941106441; 990108594870206441	1465373-4
99370675499606441; 990108594920206441	1465378-3
990108595080206441; 99370679054306441	1465401-5
99370675264806441; 990108595150206441	1465410-6
990108595260206441; 99370677022706441	1465428-3
99370670828306441; 990108595390206441	1465446-5
990108595680206441; 99370671260806441	1465484-2
990108595750206441; 99370695781406441	1465493-3
99370677486006441; 990108597370206441	1465691-7
99370673452306441; 990056673370206441	1465706-5
99370671683006441; 990108597500206441	1465709-0
99370689478506441; 990108597790206441	1465740-5
99370678142306441; 990108598330206441	1465802-1
990056640380206441; 99370673902606441	1465812-4
990056627610206441; 99370686808406441	1465850-1
99370678179306441; 990108598790206441	1465861-6
99370704538006441; 99370690378006441; 990056640400206441	1465910-4
99370687038706441; 990056640410206441	1465925-6
990056640420206441; 99370676490606441	1465932-3
99370679161806441; 990108599420206441	1465951-7
99370676917806441; 990056673380206441	1466020-9
990108600100206441; 99370678624906441	1466046-5
99370676022406441; 990108600160206441	1466054-4
990056640440206441; 991000019669706485	1466057-X
