almaMmsId	hbzId	zdbId
990134446750206441; 990181459730206441	HT014315607; HT016451682	2180476-X
990134512330206441; 990364782200206441	HT014322227; HT020285795	2181614-1
990135660610206441; 990367997120206441	HT014349469; HT020606342	2185002-1
990135661100206441; 990175636660206441	HT014349518; HT015984734	2185053-7
990135661610206441; 990175577360206441	HT014349569; HT015978780	2185105-0
990135785540206441; 990203228860206441	HT014362128; HT018201297	2186512-7
990135854400206441; 990177276430206441	HT014369094; HT016121758	2187294-6
990136036090206441; 990177702890206441	HT014387465; HT016159334	2188717-2
990136042050206441; 990206000300206441	HT014388061; HT018462678	2189354-8
990136187230206441; 990173387410206441	HT014402899; HT015823241	2191224-5
990136187530206441; 990176647280206441	HT014402929; HT016059123	2191256-7
990136350020206441; 990206631950206441	HT014419374; HT018521337	2192620-7
990136551980206441; 990193226730206441	HT014439831; HT017411297	2195108-1
990138963060206441; 990223636880206441	HT014451939; HT019643379	2196006-9
990139173180206441; 990188565570206441	HT014473174; HT016963665	2199854-1
990139174450206441; 990190831470206441	HT014473301; HT017176013	2200009-4
990139371050206441; 990187953180206441	HT014493147; HT016904910	2201757-4
990139373910206441; 990164214890206441	HT014493433; HT015398940	2202054-8
990139561580206441; 990189475010206441	HT014512409; HT017045473	2205223-9
990139695950206441; 990177292820206441	HT014526010; HT016123420	2206082-0
990139783460206441; 990204557280206441	HT014534857; HT018325132	2207305-X
990139839370206441; 990208822830206441	HT014540519; HT018722932	2207964-6
990139840830206441; 990182175140206441	HT014540665; HT016518382	2208122-7
990142874480206441; 990220459050206441	HT014555506; HT019539795	2208457-5
990142880340206441; 990219601940206441	HT014556092; HT019456155	2209069-1
990142887930206441; 990176941690206441	HT014556851; HT016088777	2209865-3
990143035470206441; 990202077840206441	HT014571770; HT018093115	2211626-6
990143171650206441; 990166931320206441	HT014585534; HT015563506	2213024-X
990143176010206441; 990179110450206441	HT014585970; HT016293781	2213492-X
990143373210206441; 990181322800206441	HT014605886; HT016438008	2215200-3
990143460390206441; 990214775330206441	HT014614686; HT019214783	2217145-9
990101895140206441; 990171967600206441	HT012036961; HT015754187	22174-0
990143552300206441; 990179468220206441	HT014622374; HT016310970	2218186-6
990143626140206441; 99370952147606441	HT014629843; HT021060320	2218519-7
990054862500206441; 990210189130206441	HT006915369; HT018848724	221918-9
990143632830206441; 990189275630206441	HT014630512; HT017025721	2219228-1
990144397610206441; 990217479660206441	HT014645817; HT019246996	2220328-X
990144403490206441; 990191145780206441	HT014646405; HT017206691	2220935-9
990144404540206441; 99375061388206441	HT014646510	2221044-1
990144478430206441; 990170584500206441	HT014653964; HT015615210	2222399-X
990144478570206441; 990190646300206441	HT014653978; HT017157595	2222413-0
990144537690206441; 990172163400206441	HT014659946; HT015774028	2223368-4
990144540650206441; 990175701180206441	HT014660242; HT015991246	2223682-X
990144691390206441; 990205287700206441	HT014675472; HT018394454	2225529-1
990144692420206441; 990178322160206441	HT014675575; HT016215511	2225644-1
990144766790206441; 990211542570206441	HT014683087; HT018983284	2226795-5
990144838070206441; 990174722170206441	HT014690287; HT015942393	2227906-4
990147827510206441; 990181831100206441	HT014714659; HT016484733	2231881-1
990147827620206441; 990184269930206441	HT014714670; HT016721887	2231892-6
990147830910206441; 990197455510206441	HT014714999; HT017698796	2232234-6
990147947410206441; 990171488910206441	HT014726793; HT015706011	2233561-4
990151138080206441; 990196864000206441	HT014734549; HT017649594	2234909-1
990151189690206441; 990165387780206441	HT014739758; HT015494772	2235517-0
990151196420206441; 990181448150206441	HT014740431; HT016450508	2236217-4
990052908480206441; 990102568870206441	HT002155244; HT012104334	223635-7
990151261650206441; 990190405830206441	HT014747007; HT017134975	2236649-0
990151319540206441; 990195374170206441	HT014752853; HT017621572	2237903-4
990151368570206441; 990190050580206441	HT014757817; HT017100475	2238555-1
990151501310206441; 990188322630206441	HT014771226; HT016940338	2239705-X
990151576410206441; 990196819300206441	HT014778825; HT017645117	2240663-3
990151580810206441; 990180448150206441	HT014779265; HT016351252	2241114-8
