Adam Matthew Digital / Foreign Office Files for the Middle East, 1971-1981	http://lobid.org/organisations/ZDB-208-FOM#!
Adam Matthew Digital / Foreign Office Files for the Middle East: 1971-1974, The 1973 Arab-Israeli War and the Oil Crisis	http://lobid.org/organisations/ZDB-208-FOM71#!
Adam Matthew Digital / Foreign Office Files for the Middle East: 1975-1978, The Lebanese Civil War and the Camp David Accords	http://lobid.org/organisations/ZDB-208-FOM75#!
Adam Matthew Digital / Foreign Office Files for the Middle East: 1979-1981, The Iranian Revolution and the Iran-Iraq War	http://lobid.org/organisations/ZDB-208-FOM79#!
Adam Matthew Digital / Gesamtpaket	http://lobid.org/organisations/ZDB-208-ADM#!
Adam Matthew Digital / Leisure, Travel and Mass Culture	http://lobid.org/organisations/ZDB-208-LTM#!
Adam Matthew Digital / Shakespeare in Performance	http://lobid.org/organisations/ZDB-208-SIQ#!
Adam Matthew Digital / Women in The National Archives	http://lobid.org/organisations/ZDB-208-WNA#!
Adam-Ries-Museum	http://lobid.org/organisations/DE-MUS-840917#!
Adolf-Bender-Zentrum	http://lobid.org/organisations/DE-MUS-292511#!
Affinger Bücherstüberl	http://lobid.org/organisations/DBS-BA148#!
Afghan Serials Collection [Nationallizenz / FID-Lizenz]	http://lobid.org/organisations/ZDB-1-AFG#!
Africa Open Institute for Music, Research and Innovation	http://lobid.org/organisations/ZDB-ZA-100#!
African American Newspapers : Series 1 [Nationallizenz / FID-Lizenz]	http://lobid.org/organisations/ZDB-1-AAN1#!
African American Newspapers : Series 2 [Nationallizenz / FID-Lizenz]	http://lobid.org/organisations/ZDB-1-AAN2#!
African Books Collective E-Books [FID-Lizenz]	http://lobid.org/organisations/ZDB-1-ABCE#!
African Writers Series  [Nationallizenz]	http://lobid.org/organisations/ZDB-1-AWS#!
Afrika-Haus Freiberg	http://lobid.org/organisations/DE-MUS-492013#!
Afrika-Museum	http://lobid.org/organisations/DE-MUS-014811#!
Afrika-Museum-Vogt Olsberg	http://lobid.org/organisations/DE-MUS-143528#!
Afrikamuseum	http://lobid.org/organisations/DE-MUS-391613#!
Agentur für Arbeit Hamburg, Berufsinformationszentrum der Berufsberatung (BIZ), Mediothek und Dokumentationsstelle	http://lobid.org/organisations/DE-H279#!
Agnes-Miegel-Haus	http://lobid.org/organisations/DE-MUS-008717#!
AGP-Fachbücherei der Arbeitsgemeinschaft Partnerschaft in der Wirtschaft e.V.	http://lobid.org/organisations/DE-Kn55#!
