name	id
Mediothek 'Lesezauber' der Philipp-Schubert-Schule Wetzlar-Hermannstein	http://lobid.org/organisations/DBS-AB602#!
Schulbücherei der Grundschule Solms-Niederbiel	http://lobid.org/organisations/DBS-AB593#!
Mediothek der Grundschule Wetzlar-Garbenheim	http://lobid.org/organisations/DBS-AB601#!
Mediothek der Diesterwegschule Herborn	http://lobid.org/organisations/DBS-AB605#!
Mediothek der Grundschule Hüttenberg-Hochelheim	http://lobid.org/organisations/DBS-AB588#!
Mediothek 'Bücherwurm' der  Dünsbergschule Hohenahr-Erda	http://lobid.org/organisations/DBS-AB606#!
Lottes Eulennest der Lotteschule Wetzlar	http://lobid.org/organisations/DBS-AB599#!
Bibliothek 'BIBI' der Grundschule Wetzlar-Steindorf	http://lobid.org/organisations/DBS-AB603#!
Mediothek der Wetzbachtalschule Wetzlar Standort Schwalbach	http://lobid.org/organisations/DBS-AB609#!
Mediothek der Grundschule an der Lahnaue Lahnau-Waldgirmes	http://lobid.org/organisations/DBS-AB590#!
Lotte-Eckert-Schule Waldsolms-Brandoberndorf	http://lobid.org/organisations/DBS-AB607#!
Mediothek der Grundschule Wetzlar-Dutenhofen	http://lobid.org/organisations/DBS-AB600#!
Mediothek der Wetzbachtalschule Wetzlar-Nauborn	http://lobid.org/organisations/DBS-AB608#!
Mediothek der Comenius-Schule Herborn	http://lobid.org/organisations/DBS-AB612#!
Mediothek der Grundschule am Siegbach Siegbach-Eisemroth	http://lobid.org/organisations/DBS-AB592#!
Mediothek der Schelderwaldschule Dillenburg-Oberscheld	http://lobid.org/organisations/DBS-AB610#!
Mediothek der Scheldetalschule Dillenburg-Niederscheld	http://lobid.org/organisations/DBS-AB604#!
Mediothek der Fritz-Philippi-Schule Breitscheid	http://lobid.org/organisations/DBS-AB613#!
Bibliothek der Goetheschule Wetzlar	http://lobid.org/organisations/DBS-AB618#!
Mediothek der Albert-Schweitzer-Schule Wetzlar	http://lobid.org/organisations/DBS-AB596#!
Mediothek der Neue Friedensschule Sinn/Merkenbach	http://lobid.org/organisations/DBS-AB611#!
Selbstlernzentrum / Mediothek der  Kaufmännische Schulen Dillenburg	http://lobid.org/organisations/DBS-AB620#!
Informationsszentrum des Johanneum-Gymnasium Herborn	http://lobid.org/organisations/DBS-AB617#!
Mediothek der Otfried-Preussler-Schule Dillenburg	http://lobid.org/organisations/DBS-AB624#!
Schulbibliothek 'Johanns Bücherhöhle'  de  Johann-Heinrich-Alsted-Schule Mittenaar	http://lobid.org/organisations/DBS-AB614#!
Mediothek der Johann-von-Nassau-Schule Dillenburg	http://lobid.org/organisations/DBS-AB615#!
Bibliothek der Theodor-Heuss-Schule Wetzlar	http://lobid.org/organisations/DBS-AB622#!
Selbstlernzentrum der Werner-von-Siemens Schule Wetzlar	http://lobid.org/organisations/DBS-AB623#!
Recherche und Informationszentrum der Alexander-von-Humboldt-Schule Aßlar	http://lobid.org/organisations/DBS-AB628#!
Mediothek der Käthe-Kollwitz-Schule Wetzlar	http://lobid.org/organisations/DBS-AB621#!
Info-Zentrum der Gewerbliche Schulen Dillenburg	http://lobid.org/organisations/DBS-AB619#!
Mediothek der Schule an der Brühlsbacher Warte Wetzlar	http://lobid.org/organisations/DBS-AB627#!
Johann-Textor-Schule Haiger	http://lobid.org/organisations/DBS-AB633#!
Lernzentrum der Gesamtschule Solms	http://lobid.org/organisations/DBS-AB630#!
Mediothek der Kirchbergschule Herborn	http://lobid.org/organisations/DBS-AB625#!
Holderbergschule Eschenburg-Eibelshausen	http://lobid.org/organisations/DBS-AB632#!
Mediothek der Friedrich-Fröbel-Schule Wetzlar	http://lobid.org/organisations/DBS-AB626#!
Schulbücherei der Grundschule Dillbrecht	http://lobid.org/organisations/DBS-AB635#!
Mediothek der  Carl-Kellner-Schule Braunfels	http://lobid.org/organisations/DBS-AB629#!
Marktbücherei	http://lobid.org/organisations/DBS-AB930#!
Schülerbücherei der August-Bebel-Gesamtschule Wetzlar	http://lobid.org/organisations/DBS-AB631#!
Mediothek der Eichendorffschule Wetzlar	http://lobid.org/organisations/DBS-AB634#!
Bibliothek für Zeitgeschichte in der Württembergischen Landesbibliothek	http://lobid.org/organisations/DBS-AC213#!
Bücherei im Bürgerhaus	http://lobid.org/organisations/DBS-AD711#!
Bücherei Ahnsbeck	http://lobid.org/organisations/DBS-AH293#!
Bücherei Klappentext	http://lobid.org/organisations/DBS-AH001#!
Evangelische Öffentliche Bücherei	http://lobid.org/organisations/DBS-AH565#!
Patientenbücherei Altötting	http://lobid.org/organisations/DBS-AG845#!
Bücherei Aufhausen	http://lobid.org/organisations/DBS-AH930#!
Selbstlernzentrum Schule Am Knieberg	http://lobid.org/organisations/DBS-AK016#!
Schulbibliothek Schule Am Katzenberg	http://lobid.org/organisations/DBS-AK011#!
Selbstlernzentrum Oberschule Am Dorn	http://lobid.org/organisations/DBS-AK013#!
BiBBS Buchbar	http://lobid.org/organisations/DBS-AK014#!
Selbstlernzentrum Hugo-Friedrich-Hartmann-Oberschule	http://lobid.org/organisations/DBS-AK012#!
Selbstlernzentrum Hanseschule Oedeme	http://lobid.org/organisations/DBS-AK018#!
Selbstlernzentrum GOBS Neuhaus	http://lobid.org/organisations/DBS-AK017#!
Selbstlernzentrum IGS Embsen	http://lobid.org/organisations/DBS-AK015#!
NORDAKADEMIE - Hochschule der Wirtschaft	http://lobid.org/organisations/DBS-AN658#!
Schulbücherei Gymnasium Oedeme	http://lobid.org/organisations/DBS-AK019#!
Bibliothek der Berufsbildenden Schule Wissen	http://lobid.org/organisations/DBS-AK901#!
Lesetreff Waldbronn	http://lobid.org/organisations/DBS-AN733#!
Evangelische Gemeindebücherei Panrod	http://lobid.org/organisations/DBS-AP653#!
Fachhochschul-Bibliothek St. Pölten	http://lobid.org/organisations/DBS-AT100#!
Austauschbücherei der Kath. Büchereifachstelle	http://lobid.org/organisations/DBS-AK970#!
Fachhochschule Salzburg GmbH	http://lobid.org/organisations/DBS-AT112#!
Bibliothek der Universität für künstlerische u. industrielle Gestaltung (Kunstuniverisität) Linz	http://lobid.org/organisations/DBS-AT410#!
Stadtbücherei	http://lobid.org/organisations/DBS-AK219#!
Studienbibliothek der Pädagogischen Hochschule Steiermark	http://lobid.org/organisations/DBS-AT801#!
Gemeinde- und Schulbücherei	http://lobid.org/organisations/DBS-AL869#!
Fachhochschulbibliothek Kärnten   	http://lobid.org/organisations/DBS-AT952#!
Austauschbücherei der Diöszese Augsburg	http://lobid.org/organisations/DBS-AU861#!
Linga-Bibliothek der Freien und Hansestadt Hamburg	http://lobid.org/organisations/DBS-AP365#!
Katholische Öffentliche Bücherei St. Margareta	http://lobid.org/organisations/DBS-AL724#!
Schülerbücherei St. Ursula-Schule	http://lobid.org/organisations/DBS-AS711#!
Katholische Öffentliche Bücherei St. Jakobus	http://lobid.org/organisations/DBS-AZ723#!
Schülerbücherei ASMW	http://lobid.org/organisations/DBS-AM465#!
Universitätsbibliothek der Karl-Franzens-Universität Graz 	http://lobid.org/organisations/DBS-AT008#!
Stadt Celle. Verwaltungsbibliothek Angela Sperling	http://lobid.org/organisations/DBS-BA143#!
Universitätsbibliothek der Technischen Universität Graz	http://lobid.org/organisations/DBS-AT010#!
Gemeindebücherei Ohlsbach	http://lobid.org/organisations/DBS-BA777#!
Bibliothek im Schulzentrum Süd	http://lobid.org/organisations/DBS-AN569#!
Bibliothek Heiligengrabe OT Blumenthal, Grundschule Blumenthal	http://lobid.org/organisations/DBS-BB216#!
Bibliothek der Fachhochschule des BFI Wien	http://lobid.org/organisations/DBS-AT102#!
Schulbibliothek Matthias-Claudius-Gesamtschule	http://lobid.org/organisations/DBS-BC001#!
St.-Vincenz-Bücherei	http://lobid.org/organisations/DBS-AS331#!
Katholische Öffentliche Bücherei St. Antonius Eversen	http://lobid.org/organisations/DBS-AS554#!
Leihverkehrs- und Ergänzungsbibliothek	http://lobid.org/organisations/DBS-AL455#!
Bibliothek der Fachhochschule Wiener Neustadt	http://lobid.org/organisations/DBS-AT270#!
Ev.-luth. Kindergarten St. Aegidius - Bücherei	http://lobid.org/organisations/DBS-AS556#!
Stadtbücherei Aub	http://lobid.org/organisations/DBS-AU972#!
Universitätsbibliothek der Veterinärmedizinischen Universität Wien	http://lobid.org/organisations/DBS-AT001#!
Ev. Kindertagesstätte 'Farbenfroh' Bad Arolsen	http://lobid.org/organisations/DBS-BA354#!
Wirtschaftsuniversität Wien, Universitätsbibliothek Gebäude LC	http://lobid.org/organisations/DBS-AT002#!
Universitätsbibliothek der Montanuniversität Leoben	http://lobid.org/organisations/DBS-AT005#!
Technische Universität Wien, Bibliothek	http://lobid.org/organisations/DBS-AT006#!
Bücherei Binsbach	http://lobid.org/organisations/DBS-BB547#!
Universitätsbibliothek Mozarteum	http://lobid.org/organisations/DBS-AT020#!
Katholische öffentliche Bücherei St. Laurentius-Unteralpfen	http://lobid.org/organisations/DBS-AL797#!
Fachhochschule Campus Wien Bibliothek und Mediathek	http://lobid.org/organisations/DBS-AT012#!
Universitätsbibliothek der Universität für Musik und darstellende Kunst Wien 	http://lobid.org/organisations/DBS-AT030#!
Mediothek der Jerg-Ratgeb-Realschule Herrenberg	http://lobid.org/organisations/DBS-BH215#!
Universitätsbibliothek Bodenkultur Wien	http://lobid.org/organisations/DBS-AT111#!
Universitätsbibliothek Salzburg	http://lobid.org/organisations/DBS-AT502#!
Kath. Öffentl. Bücherei St. Andreas	http://lobid.org/organisations/DBS-AN925#!
Bibliothek der OÖ Landes-Kultur GmbH	http://lobid.org/organisations/DBS-AT401#!
Gemeindebücherei	http://lobid.org/organisations/DBS-AU977#!
Medizinische Universität Wien, Universitätsbibliothek	http://lobid.org/organisations/DBS-AT004#!
Fachhochschule Burgenland / Bibliothek 	http://lobid.org/organisations/DBS-AT700#!
Universitätsbibliothek der Universität für Musik und darstellende Kunst	http://lobid.org/organisations/DBS-AT007#!
Ubbo-Emmius-Klinik	http://lobid.org/organisations/DBS-AU266#!
Universitätsbibliothek der Universität Wien	http://lobid.org/organisations/DBS-AT009#!
Joseph Haydn-Institut. Bibliothek	http://lobid.org/organisations/DBS-BE355#!
Diakonisches Werk der Ev. Kirche in Deutschland. Bibliothek. Bestand Stuttgart	http://lobid.org/organisations/DBS-BK894#!
Affinger Bücherstüberl	http://lobid.org/organisations/DBS-BA148#!
FHWien-Studiengänge der WKW	http://lobid.org/organisations/DBS-AT118#!
Schulbibliothek Lindenschule	http://lobid.org/organisations/DBS-AW901#!
Evangelische Öffentliche Gemeindebücherei Becherbach	http://lobid.org/organisations/DBS-BE556#!
Bibliothek Bleckede	http://lobid.org/organisations/DBS-BL213#!
Katholische öffentliche Bücherei St. Alexius Benhausen	http://lobid.org/organisations/DBS-BA433#!
Anton Bruckner Privatuniversität / Universitätsbibliothek	http://lobid.org/organisations/DBS-AT404#!
Amt für Stadtentwicklung und Statistik. Bibliothek	http://lobid.org/organisations/DBS-BE616#!
Evangelische Öffentliche Gemeindebücherei Bell	http://lobid.org/organisations/DBS-BL562#!
Bücherei in Bauschheim	http://lobid.org/organisations/DBS-BA654#!
Ev.-Luth. Kirchengemeindeamt. Kapitelsbibliothek	http://lobid.org/organisations/DBS-BL692#!
FH JOANNEUM Bibliotheks- und Informationszentrum	http://lobid.org/organisations/DBS-AT802#!
Bischöfliches Generalvikariat. Religionspädagogische Arbeitsstelle. Diözesanmedienstelle	http://lobid.org/organisations/DBS-BM477#!
Bücherei Böhringen	http://lobid.org/organisations/DBS-BO725#!
Von-Heydt-Museum. Bibliothek	http://lobid.org/organisations/DBS-BD636#!
KÖB St. Antonius Sönnern	http://lobid.org/organisations/DBS-AW754#!
Bibliothek im Beruflichen Schulzentrum Backnang	http://lobid.org/organisations/DBS-BG558#!
Gemeindebücherei	http://lobid.org/organisations/DBS-BO881#!
Ev. Kindertagesstätte Bad Arolsen	http://lobid.org/organisations/DBS-BA344#!
Schulbibliothek IGS Bonn Beuel	http://lobid.org/organisations/DBS-BB777#!
Bundesforschungsanstalt für Ernährung und Lebensmittel, Standort Münster. Bibliothek	http://lobid.org/organisations/DBS-BR197#!
Bücherei Brombach	http://lobid.org/organisations/DBS-BB795#!
Hochschule für Angewandte Wissenschaften Hamburg (HAW), Hochschulinformations- und Bibliotheksservice (HIBS)	http://lobid.org/organisations/DBS-BH575#!
Kath. öffentliche Bücherei St. Bonifatius Riedstadt-Goddelau	http://lobid.org/organisations/DBS-BR645#!
Bibliothek der Evangelischen Hochschule Berlin (EHB)	http://lobid.org/organisations/DBS-BE141#!
Offizierschule der Luftwaffe. Bibliothek / Fachinformationsstelle	http://lobid.org/organisations/DBS-BA192#!
Gemeindebibliothek Berthelsdorf	http://lobid.org/organisations/DBS-BD027#!
Gemeindebücherei Bockhorn	http://lobid.org/organisations/DBS-BH854#!
Berufsakademie Sachsen. Staatliche Studienakademie Breitenbrunn. Bibliothek	http://lobid.org/organisations/DBS-BR835#!
Stadtarchiv Goslar. Archivbibliothek	http://lobid.org/organisations/DBS-BA234#!
Ev. Kindertagesstätte Friedenskirche Bad Wildungen	http://lobid.org/organisations/DBS-BW345#!
Gemeindebücherei Bad Bayersoien	http://lobid.org/organisations/DBS-BB824#!
Gemeinsamer Bundesausschuss Bibliothek	http://lobid.org/organisations/DBS-BO651#!
Mediothek Boxberg	http://lobid.org/organisations/DBS-BX979#!
