key	doc_count
Czasopismo politologiczne.	37
Erzählende Literatur: Anthologien	37
Neuerwerbungsliste	37
Paris <1987>	37
Sequences (Music)	37
Verzeichnis.	37
Libretto	36
Yearbook.	36
Aussstellung	35
Ballads.	35
Berlin <1992>	35
Canons (Music)	35
Dictionaries	35
Freimaurerliteratur	35
Illustrated works.	35
Lehrmittel.	35
Ausstellungskatalog.	34
Bar journals.	34
Berlin <West, 1988>	34
Berlin <West, 1989>	34
Court decisions and opinions.	34
Czasopismo językoznawcze.	34
Handbook	34
Lehrerfortbildung	34
Personal narratives	34
Rondos.	34
Werkverzeichnis.	34
Altlasten	33
Comics (Graphic works)	33
Einzelarbeit	33
Fiction films.	33
Gelegenheitsschrift: Tod	33
Incidental music.	33
Integrierte Darstellung	33
Situationsbewertung	33
Statistik 1991-	33
Tangos (Music)	33
Terminology.	33
Case Report	32
Czasopismo filozoficzne.	32
Laboratory Manual	32
Lexikon	32
Lithografie	32
Lullabies.	32
Statistik 1991	32
Vespers (Music)	32
Weltkarte	32
Case Reports / https://id.nlm.nih.gov/mesh/D002363	31
Interview.	31
Local history.	31
Observations.	31
Rhapsodies (Music)	31
Schulbuch.	31
Atlases / https://id.nlm.nih.gov/mesh/D020466	30
Datensammlung.	30
Moralische Wochenschrift	30
Problems and exercises.	30
Prognose	30
Richtlinie.	30
Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Tiere, Pflanzen, Natur, Umwelt	30
Urkunde	30
Berlin <West, 1987>	29
Blues (Music)	29
Folk music.	29
Geschenkbücher	29
Love stories.	29
Modell	29
München <1984>	29
New York <NY, 1988>	29
Nurses’ Instruction	29
Paris <1994>	29
Personal narratives.	29
Rounds (Music)	29
Statistik 1990-	29
Universitätsprogramm	29
Autograf	28
Bilderbücher	28
Diaries.	28
Domestic fiction.	28
Fiktionale Darstellung.	28
Galliards (Music)	28
Konferenzschrift.	28
Little magazines.	28
Paris <1995>	28
Paris <1998>	28
Paris <2002>	28
Podcast	28
Ressource Internet (Descripteur de forme).	28
Tables	28
Capriccios (Music)	27
Case studies	27
Czasopismo archeologiczne.	27
Czasopismo matematyczne.	27
Czasopismo religioznawcze.	27
Directory	27
Einleitung	27
Exhibition catalogs	27
Funeral music.	27
Gesetzessammlung	27
München <1988>	27
Paris <1999>	27
Périodique électronique (Descripteur de forme).	27
Religiöse Bilderbücher	27
Auktion	26
Autobiographies.	26
Berlin <West, 1985>	26
Bibel	26
Brief	26
Essais.	26
Fanfares.	26
Filmed performances.	26
Führer	26
Resource Guides	26
Review	26
Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Tiere, Pflanzen, Natur, Umwelt	26
Texts.	26
Wörterbuch <mehrsprachig>	26
Atlas / https://id.nlm.nih.gov/mesh/D020466	25
Autobiographie	25
Catalogs	25
Chirurgie	25
Electronic journal.	25
Entwurf	25
Erzählende Literatur	25
Forschungsdaten	25
Kunstführer	25
LEADER+-Programm	25
Maps.	25
Mikroskopische Methode	25
Ordensliteratur: Jesuiten	25
Paris <1983>	25
Paris <1988>	25
Paris <1991>	25
essays.	25
Annual reports.	24
Anthologie.	24
Biblische Geographie	24
Erzählende Literatur: Hauptwerk vor 1945	24
Guides et manuels.	24
Historische Romane und Erzählungen	24
Konsiliensammlung	24
München <1985>	24
New York <NY, 1986>	24
Nocturnes (Music)	24
Paris <1992>	24
Paris <2001>	24
Ragtime music.	24
Science Fiction	24
Sources	24
Teaching pieces (Music)	24
Video recordings for the hearing impaired.	24
Weltgeschichte 1900-2000	24
Zeichnung	24
